"","Group","n","mean","sd","min","max","skew"
"1","Corsi Control",20,0.84218253975,0.107832421659602,0.633333333,1,-0.580313759235017
"2","Corsi Experimental",20,0.609107143,0.18783453773195,0.305555556,1,0.604313514086623
