"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",115,1.63467418058973,NA,NA,NA,NA
"2",114,1.63417356819803,1,0.000500612391699073,0.0349227363386034,0.85208982346567
