"","Group","n","mean","med","sd","IQR","skew","min","max"
"1","Digit Control",20,0.87935515885,0.888888889,0.0884982557596788,0.1722222225,-0.161171172805014,0.75,1
"2","Digit Experimental",20,0.8864305556,0.925,0.123047825392962,0.166666667,-0.959075724153163,0.566666667,1
