"","Estimate","TValue","df","p.value","Significance","LowerCI","UpperCI","CohensD","DMag.","DLwrCI","DUprCI"
"Corsi Experimental - Corsi Control",-0.23307539675,-5.87125083538004,76,6.41233804721253e-07,"***",-0.337298075320815,-0.128852718179185,-1.52187981907008,"large",-2.24883600682175,-0.794923631318409
"VPT Control - Corsi Control",0.0932458512999999,2.34889563623942,76,0.128577338655533,"NS",-0.0109768272708149,0.197468529870815,1.0529432224711,"large",0.369853060721148,1.73603338422104
"VPT Experimental - Corsi Control",-0.07190386005,-1.81128340559443,76,0.444288930236879,"NS",-0.176126538620815,0.0323188185208148,-0.66056363680962,"medium",-1.31795990046203,-0.00316737315720517
"VPT Control - Corsi Experimental",0.32632124805,8.22014647161946,76,2.50173215476934e-11,"***",0.222098569479185,0.430543926620815,2.32675077052946,"large",1.4978061890921,3.15569535196682
"VPT Experimental - Corsi Experimental",0.1611715367,4.05996742978562,76,0.000708815181118982,"***",0.0569488581291852,0.265394215270815,1.04745630864129,"large",0.364798421404077,1.73011419587851
"VPT Experimental - VPT Control",-0.16514971135,-4.16017904183385,76,0.000497162579291555,"***",-0.269372389920815,-0.0609270327791851,-1.83915766456309,"large",-2.60276295754071,-1.07555237158547
