"","Group","n","mean","med","sd","IQR","skew","min","max"
"1","VPT Control",20,0.93542839105,0.9534632035,0.0636943788060696,0.076388889,-0.801432810945635,0.803030303,1
"2","VPT Experimental",20,0.7702786797,0.759259259,0.109862677668233,0.14699074125,-0.264516760119358,0.5,0.981481482
